"*";"base";"s"
"cn_Vivianne.f";"薇薇安妮";""
"cn_Vjollca.f";"繆兒卡";""
"cn_Vlad.m";"弗拉德";""
"cn_Vladan.m";"弗拉丹";""
"cn_Vladhyslao.m";"弗拉迪斯勞";""
"cn_Vladimir.m";"弗拉基米爾";""
"cn_Vladimiras.m";"弗拉迪米拉斯";""
"cn_Vladino.m";"弗拉迪諾";""
"cn_Vladislav.m";"弗拉德斯拉夫";""
"cn_Vlado.m";"弗拉多";""
"cn_Vlaicu.m";"弗萊庫";""
"cn_Vlajka.f";"弗萊卡";""
"cn_Vlora.f";"芙洛拉";""
"cn_Voisava.f";"芙伊莎娃";""
"cn_Voislava.f";"芙伊絲拉娃";""
"cn_Vojin.m";"沃金";""
"cn_Volkmar.m";"沃克馬爾";""
"cn_Volkwin.m";"沃克溫";""
"cn_Volodar.m";"弗羅達爾";""
"cn_Volodimer.m";"弗羅迪莫";""
"cn_Volodymyr.m";"弗羅迪米爾";""
"cn_Vonibout.m";"弗尼堡";""
"cn_Voysil.m";"弗伊席爾";""
"cn_Vratislaw.m";"弗拉提斯勞";""
"cn_Vrtanes.m";"弗爾坦斯";""
"cn_Vseslav.m";"弗賽斯拉夫";""
"cn_Vsevolod.m";"弗賽沃羅德";""
"cn_Vuk.m";"伍克";""
"cn_Vukan.m";"伍坎";""
"cn_Vukasin.m";"伍卡辛";""
"cn_Vulo.m";"伍羅";""
"cn_Vygantas.m";"維甘塔斯";""
"cn_Vykintas.m";"維金塔斯";""
"cn_Vyshata.m";"維夏塔";""
"cn_Vytautas.m";"維陶塔斯";""
"cn_Vytenis.m";"維特尼斯";""
"cn_Vyzeikis.m";"維杰齊斯";""
"cn_Vyzheik.m";"維杰伊克";""
"cn_Wadih.m";"瓦迪赫";""
"cn_Wafa.m";"瓦法";""
"cn_Wahid.m";"瓦希德";""
"cn_Wahshiyah.f";"瓦席楊";""
"cn_Wais.m";"瓦伊斯";""
"cn_Walad.m";"瓦拉德";""
"cn_Walcher.m";"瓦爾切爾";""
"cn_Waldburga.f";"瓦德布爾加";""
"cn_Waldemar.m";"瓦德馬爾";""
"cn_Walerand.m";"瓦勒朗德";""
"cn_Walerian.m";"瓦勒利安";""
"cn_Wali.m";"瓦里";""
"cn_Walid.m";"瓦里德";""
"cn_Walkelin.m";"沃克林";""
"cn_Walram.m";"瓦爾拉姆";""
"cn_Walter.m";"華特";""
"cn_Walteri.m";"華特里";""
"cn_Waltheof.m";"華提歐夫";""
"cn_Walther.m";"華瑟";""
"cn_Wang.m";"王";""
"cn_Wanudin.m";"瓦努汀";""
"cn_Warcislaw.m";"瓦西斯勞";""
"cn_Warin.m";"瓦林";""
"cn_Warmund.m";"瓦穆德";""
"cn_Warner.m";"瓦訥";""
"cn_Warreis.m";"瓦瑞伊斯";""
"cn_Wartislaw.m";"瓦提斯勞";""
"cn_Wasil.m";"瓦席爾";""
"cn_Wasim.m";"瓦席姆";""
"cn_Wazir.m";"瓦吉爾";""
"cn_Welf.m";"維爾夫";""
"cn_Wenceslaus.m";"溫賽斯勞";""
"cn_Wencislawa_Wiola.f";"溫西絲拉娃-葳歐菈";""
"cn_Wenczel.m";"溫采爾";""
"cn_Wenzclo.m";"溫茲西歐";""
"cn_Werba.m";"維爾巴";""
"cn_Wernher.m";"維恩赫";""
"cn_Wiebke.f";"維布克";""
"cn_Wiel.m";"維耶爾";""
"cn_Wigand.m";"威甘德";""
"cn_Wigunt.m";"威岡特";""
"cn_Wikman.m";"威克曼";""
"cn_Wiland.m";"威爾蘭";""
"cn_Wilcze.m";"威爾切";""
"cn_Wilheida.f";"葳海妲";""
"cn_Wilhelm.m";"威爾海姆";""
"cn_Wilhelmus.m";"威爾海姆斯";""
"cn_Wilibrord.m";"威利布洛德";""
"cn_Willelma.f";"葳蕾爾瑪";""
"cn_Willheida.f";"葳爾海妲";""
"cn_Willhem.m";"威爾翰";""
"cn_William.m";"威廉";""
"cn_Williamina.f";"葳蓮米娜";""
"cn_Wilrich.m";"威利齊";""
"cn_Winand.m";"溫南德";""
"cn_Winrich.m";"溫利齊";""
"cn_Wiola.f";"薇歐菈";""
"cn_Wiprecht.m";"威普瑞特";""
"cn_Wischard.m";"威斯恰德";""
"cn_Wishard.m";"威夏爾德";""
"cn_Withaws.m";"威掃斯";""
"cn_Witold.m";"威托德";""
"cn_Wladyslaw.m";"伍拉迪斯勞";""
"cn_Wlodzimierz.m";"伍羅吉米爾茲";""
"cn_Woizlava.f";"沃伊茲拉娃";""
"cn_Wojszwil.m";"沃茲威爾";""
"cn_Wolfel.m";"沃菲爾";""
"cn_Wolfer.m";"沃費爾";""
"cn_Wolferam.m";"沃菲拉姆";""
"cn_Wolfert.m";"沃菲爾特";""
"cn_Wolfgang.m";"沃夫岡";""
"cn_Wolfhart.m";"沃夫哈特";""
"cn_Wolfker.m";"沃夫克";""
"cn_Wortwin.m";"沃特溫";""
"cn_Wratislaw.m";"伍拉提斯勞";""
"cn_Wulfhilde.f";"伍夫希爾蒂";""
"cn_Wulgrin.m";"伍爾格林";""
"cn_Wymar.m";"威伊馬";""
"cn_Wymund.m";"威伊穆";""
"cn_Xelmiro.m";"謝爾米羅";""
"cn_Xene.f";"賽妮";""
"cn_Ya_la.m";"亞-拉";""
"cn_Yadgar.m";"亞德加";""
"cn_Yaghisiyan.m";"亞吉斯楊";""
"cn_Yaghmurasen.m";"亞穆拉森";""
"cn_Yahsi.m";"亞赫希";""
"cn_Yahya.m";"亞赫亞";""
"cn_Yajlaf.m";"亞拉夫";""
"cn_Yakov.m";"亞柯夫";""
"cn_Yakup.m";"亞庫普";""
"cn_Yalbugha.m";"亞爾布加";""
"cn_Yaman.m";"亞曼";""
"cn_Yamin.m";"亞明";""
"cn_Yamut.m";"亞穆特";""
"cn_Yan.m";"楊";""
"cn_Yanko.m";"楊柯";""
"cn_Yann.m";"楊恩";""
"cn_Yannick.m";"楊尼克";""
"cn_Yanuka.m";"亞努卡";""
"cn_Yaqub.m";"亞庫布";""
"cn_Yaqut.m";"亞庫特";""
"cn_Yarhisar.m";"亞爾希薩";""
"cn_Yaropolk.m";"亞羅波爾克";""
"cn_Yaroslav.m";"雅羅斯拉夫";""
"cn_Yasal.m";"亞薩爾";""
"cn_Yasin.m";"亞辛";""
"cn_Yaskar.m";"亞斯卡";""
"cn_Yasmina.f";"亞絲米娜";""
"cn_Yazid.m";"亞基德";""
"cn_Yban.m";"伊邦";""
"cn_Yeddas.m";"伊達斯";""
"cn_Yedi.f";"伊蒂";""
"cn_Yeprem.m";"伊普瑞";""
"cn_Yerelinkon.m";"伊瑞林孔";""
"cn_Yeshichin.f";"伊席清";""
"cn_Yesuchin.f";"伊舒清";""
"cn_Yesugei.m";"伊蘇杰";""
"cn_Yesugen.f";"伊蘇根";""
"cn_Yesun.f";"伊素恩";""
"cn_Yghomracen.m";"伊奧姆拉森";""
"cn_Yiggit.m";"伊吉特";""
"cn_Yisui.f";"伊素依";""
"cn_Yngerame.m";"因格拉梅";""
"cn_Ynyr.m";"依尼爾";""
"cn_Yolanda.f";"尤蘭妲";""
"cn_Yolande.f";"尤蘭蒂";""
"cn_Youssef.m";"尤瑟夫";""
"cn_Youssouf.m";"尤索夫";""
"cn_Yrmegard.f";"依爾梅加德";""
"cn_Ysabela.f";"依莎貝拉";""
"cn_Ysabell.f";"依莎貝爾";""
"cn_Ysenda.f";"依森妲";""
"cn_Yslani.f";"依絲拉妮";""
"cn_Ytel.m";"依泰爾";""
"cn_Yujamir.m";"尤賈米爾";""
"cn_Yul.f";"尤爾";""
"cn_Yunas.m";"尤納斯";""
"cn_Yunus.m";"尤努斯";""
"cn_Yuriy.m";"尤利依";""
"cn_Yusekhei.m";"尤賽黑";""
"cn_Yusuf.m";"尤速夫";""
"cn_Yvain.m";"依凡因";""
"cn_Yvette.f";"依蓓特";""
"cn_Yvonne.f";"依芳";""
"cn_Zabel.f";"札貝爾";""
"cn_Zacharias.m";"札恰利亞斯";""
"cn_Zache.m";"札切";""
"cn_Zafir.m";"札菲爾";""
"cn_Zah.m";"札赫";""
"cn_Zahir.m";"札希爾";""
"cn_Zahireddin.m";"札希爾汀";""
"cn_Zahl.m";"札赫爾";""
"cn_Zahra.f";"札赫菈";""
"cn_Zain.m";"贊因";""
"cn_Zakare.m";"札克瑞";""
"cn_Zakaria.m";"札卡利亞";""
"cn_Zakariya.m";"札卡力亞";""
"cn_Zakariyya.m";"札卡立亞";""
"cn_Zaland.m";"札蘭德";""
"cn_Zankan.m";"贊坎";""
"cn_Zanobi.m";"贊諾比";""
"cn_Zaven.m";"贊凡";""
"cn_Zavis.m";"札維斯";""
"cn_Zawi.m";"札威";""
"cn_Zayd.m";"札伊德";""
"cn_Zayn.m";"札因";""
"cn_Zaynab.f";"札伊娜布";""
"cn_Zayyan.m";"札伊楊";""
"cn_Zaza.m";"札札";""
"cn_Zbygniew.m";"茲比紐";""
"cn_Zbyslava.f";"茲比絲拉娃";""
"cn_Zementus.m";"吉曼圖斯";""
"cn_Zhivin_boud.m";"吉文堡德";""
"cn_Zia.m";"吉亞";""
"cn_Zinedine.m";"吉恩汀";""
"cn_Zinowy.m";"吉諾威";""
"cn_Ziri.m";"吉里";""
"cn_Zivinbudas.m";"吉文布達斯";""
"cn_Ziyad.m";"吉亞德";""
"cn_Zobeslaus.m";"佐貝斯勞斯";""
"cn_Zodi.m";"佐迪";""
"cn_Zoe.f";"佐伊";""
"cn_Zogd.m";"佐格德";""
"cn_Zozimas.m";"佐吉馬斯";""
"cn_Zsofia.f";"佐菲婭";""
"cn_Zuan.m";"祖安";""
"cn_Zubaidah.f";"祖拜妲";""
"cn_Zuchi.m";"祖齊";""
"cn_Zuhayr.m";"祖海爾";""
"cn_Zujruf.f";"祖露芙";""
"cn_Zulaikha.f";"祖萊嘉";""
"cn_Zumurrud.f";"祖穆露德";""
"cn_Zurab.m";"祖拉布";""
"cn_Zvantepolk.m";"茲凡特波克";""
"cn_Zvelgaitis.m";"茲維爾加提斯";""
"cn_Zvelgutis.m";"茲維爾古提斯";""
"cn_Zvenislava.f";"茲凡妮絲拉娃";""
"cn_Zvonimir.m";"茲馮尼米爾";""
"cn_Zweeger.m";"茲維格";""
"cn_Zygimantas.m";"吉吉曼塔斯";""
"cn_Zygmunt.m";"吉格穆特";""
